Hashtag,Title,Publication Date,Link,processed_timestamp,production_url,data_source
#bangladeshhindus,Misleading reports of attacks on Bangladesh Hindus circulates in India | Al Jazeera Newsfeed,2024-08-25,https://www.youtube.com/watch?v=63vKHCbAwn4,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Anti Hindu Violence Grows In Bangladesh, Mobs Target Hindus In Dhaka, Set Temples Ablaze",2024-08-25,https://www.youtube.com/watch?v=W4u1_vqheKg,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh: Hindu Leader Abducted, Killed? Dinajpur Shocker Amid Tensions| Police Report Reveals...",2025-04-22,https://www.youtube.com/watch?v=X1md2V8u7bw,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Truth About Bangladeshi Hindus: Hindu-Muslim Tensions in Bangladesh | Complete Analysis | StudyIQ,2024-12-23,https://www.youtube.com/watch?v=JwEoXfk0KkY,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,“Hindus an Integral Part of Bangladesh but India Not Perceived to Be Pro-Bangladesh”: Dhaka Lawyer,2024-12-23,https://www.youtube.com/watch?v=GVa9RLBZLuo,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Violence Against Hindus In Bangladesh Proves India's Citizenship Amendment Act Was Right? | N18G,2024-12-23,https://www.youtube.com/watch?v=8kTNXxpmTkk,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Hindus In Bangladesh | Bhabesh Chandra Roy Abducted, Beaten to Death | 2,000+ Minority Attacks",2025-04-22,https://www.youtube.com/watch?v=tRbb9vsh940,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindus under Attack in Bangladesh!,2024-08-25,https://www.youtube.com/watch?v=ad-ckmUNQUA,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Protests | Bangladesh Hindus Protest Targeted Violence, Yunus Calls Attacks ""Heinous""",2024-08-25,https://www.youtube.com/watch?v=kqJXVu_h2g4,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Hindu Persecution In Bangladesh Sparks Global Concern, Why Are Hindus Being Targeted? | India Today",2024-12-23,https://www.youtube.com/watch?v=YvJt4I2Imuo,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Pt.4- REAL OR FAKE - Viral Clips Of Hindus Being Wiped Out In Bangladesh? | Akash Banerjee & Adwaith,2024-08-25,https://www.youtube.com/watch?v=Z1O1KhGkjGg,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Govt Must Protect Hindus & Temples: India Urges Bangladesh To Protect Hindu Community And Minorities,2024-12-23,https://www.youtube.com/watch?v=ynOPuF-qn8E,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Reality Of India-Bangladesh Relationship | Hindu Lives - Reality vs Propaganda | Akash Banerjee,2024-12-23,https://www.youtube.com/watch?v=4TWFr5kQ9o8,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Hindus Attacked: Why It Is Right Time For Indian Muslims To Stand Up And Protest | N18G,2024-08-25,https://www.youtube.com/watch?v=yJlygvAxRXQ,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh's National Hindu Temple | Dhakeshwari temple #travelvlog #dhaka #hinduism #bangladesh,2024-08-25,https://www.youtube.com/watch?v=C-3RuGguZvQ,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Hindu Population in Bangladesh By District,2025-06-08,https://www.youtube.com/watch?v=hVivE_dcGtI,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Violence | Priyanka Gandhi Calls for Government Action on Bangladesh Hindus,2024-12-23,https://www.youtube.com/watch?v=WkRo5tHhruk,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Amid Rising Attacks On Hindus In Bangladesh, Jagadguru Rambhadracharya Raises Concern",2025-01-22,https://www.youtube.com/watch?v=bS7Kna9npz4,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Conspiracy To Target Hindus In Bangladesh? | Case against ISKCON | Akash Banerjee,2024-12-23,https://www.youtube.com/watch?v=8BxObylKpZk,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Violence and Chaos in Bangladesh After Hindu Priest's Arrest | Vantage With Palki Sharma,2024-12-23,https://www.youtube.com/watch?v=lJPVr8N0pLM,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Hindus News | The Persecution Of Hindus In B'desh Is Not A New Phenomenon | World 360,2024-12-23,https://www.youtube.com/watch?v=cC3mHh2R9IY,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Flood Relief Team in Bangladesh Cut Off Sacred Threads of Hindus: Report #Viral #trending,2024-09-24,https://www.youtube.com/watch?v=Brb-lYs1YbM,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Bangladesh Hindus Protest Amid Surge In Violence: Watch| London To Delhi, Global Outrage Intensifies",2024-08-25,https://www.youtube.com/watch?v=Owh-5JrdXAA,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Hindu : भारतीय मुसलमान ने दी बांग्लादेश को कड़ी चेतावनी ! #bangladeshnews #attackonhindu,2024-12-23,https://www.youtube.com/watch?v=KqbTRtK1JkA,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bid to Silence Bangladesh Hindus? | Vantage with Palki Sharma | Subscribe to Firstpost,2024-09-24,https://www.youtube.com/watch?v=RVKd0gyHltw,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,India Slams Bangladesh Over Hindu Leader’s Murder | Subscribe to Firstpost | N18G,2025-04-22,https://www.youtube.com/watch?v=UiukMvSeCWo,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Saint Devkinandan Thakur condemns attack over Hindus in Bangladesh, suggests separate ‘Hindu’ nation",2024-12-23,https://www.youtube.com/watch?v=wc7-LWn_QBM,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,RSS Chief Mohan Bhagwat expresses concern over atrocities on Hindus in Bangladesh,2024-08-25,https://www.youtube.com/watch?v=jeDYi_AC9Lc,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Jagadguru Rambhadracharya On Attack On Hindus in Bangladesh #rambharacharya #bangladesh,2024-12-23,https://www.youtube.com/watch?v=b4pIDkzY3TM,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Saint Devkinandan Thakur condemns attack over Hindus in Bangladesh, suggests separate ‘Hindu’ nation",2024-12-23,https://www.youtube.com/watch?v=vHya8lNiM-w,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,Bangladesh Violence | Bangladesh Hindus | The Hard Facts With Rahul Shivshankar | Politics | News18,2024-12-23,https://www.youtube.com/watch?v=QpUtuxXHpns,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
#bangladeshhindus,"Hindus Targeted In Bangladesh: No End To Bangladesh Anti-Hindu Attacks, Chinmoy Das' Lawyer Attacked",2024-12-23,https://www.youtube.com/watch?v=7YTd3tFNT4M,2025-06-25 07:51:38,https://www.codehurry.com,C:\Data\Final_Combined\server_dashboard.csv
